Constituency Name,Winning Candidate,Runner up Candidate,Party ,Alliance, EVM Votes,Postal Votes,Total Votes,Margin
TIRUPPUR,"SUBBARAYAN, K.","ARUNACHALAM, P.", CPI,I.N.D.I.A.,1136443,6106,1142549,125928
GHAZIPUR,AFZAL ANSARI,PARS NATH RAI, SP,I.N.D.I.A.,1148952,4142,1153094,124861
UDHAMPUR,DR JITENDRA SINGH,CH LAL SINGH, BJP,NDA,1106472,7255,1113727,124373
SOUTHDELHI,RAMVIR SINGH BIDHURI,SAHI RAM, BJP,NDA,1293476,2522,1295998,124333
PUNE,MURLIDHAR MOHOL,DHANGEKAR RAVINDRA HEMRAJ, BJP,NDA,1103671,901,1104572,123038
SAMBHAL,ZIA UR REHMAN,PARMESHWAR LAL SAINI, SP,I.N.D.I.A.,1193721,1262,1194983,121494
MADHA,MOHITE-PATIL DHAIRYASHEEL RAJSINH,RANJEETSINGH HINDURAO NAIK NIMBALKAR, NCPSP,I.N.D.I.A.,1267125,6293,1273418,120837
RANCHI,SANJAY SETH,YASHASWINI SAHAY, BJP,NDA,1432859,14922,1447781,120512
SAMBALPUR,DHARMENDRA PRADHAN,PRANAB PRAKASH DAS, BJP,NDA,1190616,6131,1196747,119836
BARMER,UMMEDA RAM BENIWAL,RAVINDRA SINGH BHATI, INC,I.N.D.I.A.,1675314,12737,1688051,118176
COIMBATORE,GANAPATHY RAJKUMAR P,ANNAMALAI K, DMK,I.N.D.I.A.,1366177,6656,1372833,118068
JANGIPUR,KHALILUR RAHAMAN,MURTOJA HOSSAIN BOKUL, AITC,I.N.D.I.A.,1366962,2671,1369633,116637
NORTHGOA,SHRIPAD YESSO NAIK,RAMAKANT KHALAP, BJP,NDA,451054,4964,456018,116015
JODHPUR,GAJENDRA SINGH SHEKHAWAT,KARAN SINGH UCHIYARDA, BJP,NDA,1370371,13467,1383838,115677
LALGANJ,DAROGA PRASAD SAROJ,NEELAM SONKER, SP,I.N.D.I.A.,999434,4004,1003438,115023
VADAKARA,SHAFI PARAMBIL,K K SHAILAJA TEACHER, INC,I.N.D.I.A.,1110765,12182,1122947,114506
BARASAT,KAKOLI GHOSH DASTIDAR,SWAPAN MAJUMDER, AITC,I.N.D.I.A.,1527533,5068,1532601,114189
CHHINDWARA,BUNTY VIVEK SAHU,NAKUL KAMALNATH, BJP,NDA,1302172,2655,1304827,113618
DINDORI,BHASKAR MURLIDHAR BHAGARE,DR. BHARATI PRAVIN PAWAR, NCPSP,I.N.D.I.A.,1236675,4235,1240910,113199
JAMUI,ARUN BHARTI,ARCHANA KUMARI, LJPRV,NDA,977338,1895,979233,112482
NANDYAL,DR BYREDDY SHABARI,POCHA BRAHMANANDA REDDY, TDP,NDA,1385007,19411,1404418,111975
KURNOOLU,BASTIPATI NAGARAJU PANCHALINGALA,B Y RAMAIAH, TDP,NDA,1316682,14098,1330780,111298
JALNA,KALYAN VAIJINATHRAO KALE,DANVE RAOSAHEB DADARAO, INC,I.N.D.I.A.,1357971,5438,1363409,109958
INNERMANIPUR,ANGOMCHA BIMOL AKOIJAM,THOUNAOJAM BASANTA KUMAR SINGH, INC,I.N.D.I.A.,789912,6985,796897,109801
NIZAMABAD,ARVIND DHARMAPURI,JEEVANREDDY THATIPARTHI, BJP,NDA,1226215,7366,1233581,109241
KANNUR,K. SUDHAKARAN,M.V. JAYARAJAN, INC,I.N.D.I.A.,1048785,15070,1063855,108982
HINGOLI,AASHTIKAR PATIL NAGESH BAPURAO,BABURAO KADAM KOHALIKAR, SHSUBT,I.N.D.I.A.,1154970,4330,1159300,108602
KARAKAT,RAJA RAM SINGH,PAWAN SINGH, CPI(ML)(L),I.N.D.I.A.,1027665,3953,1031618,105858
MORADABAD,RUCHI VIRA,KUNWAR SARVESH KUMAR, SP,I.N.D.I.A.,1280819,2366,1283185,105762
BHAGALPUR,AJAY KUMAR MANDAL,AJEET SHARMA, JD(U),NDA,1061614,2467,1064081,104868
PURI,SAMBIT PATRA,ARUP MOHAN PATNAIK, BJP,NDA,1191034,5904,1196938,104709
KAUSHAMBI,PUSHPENDRA SAROJ,VINOD KUMAR SONKAR, SP,I.N.D.I.A.,1007927,1402,1009329,103944
MANDLA,FAGGAN SINGH KULASTE,OMKAR SINGH MARKAM, BJP,NDA,1531950,3682,1535632,103846
BANKA,GIRIDHARI YADAV,JAI PRAKASH NARAYAN YADAV, JD(U),NDA,1011616,2539,1014155,103844
CHIDAMBARAM,THIRUMAAVALAVAN THOL,CHANDRAHASAN M, VCK,I.N.D.I.A.,1158718,8353,1167071,103554
GORAKHPUR,RAVINDRA SHUKLA ALIAS RAVI KISHAN,KAJAL NISHAD, BJP,NDA,1151384,3029,1154413,103526
MAHARAJGANJ,"JANARDAN SINGH ""SIGRIWAL""",AAKASH KUMAR SINGH, BJP,NDA,1011462,2647,1014109,102651
JHANSI,ANURAG SHARMA,"PRADEEP JAIN ""ADITYA""", BJP,NDA,1378807,1699,1380506,102614
GODDA,NISHIKANT DUBEY,PRADEEP YADAV, BJP,NDA,1388559,9645,1398204,101813
GAYA,JITAN RAM MANJHI,KUMAR SARVJEET, HAMS,NDA,958387,5289,963676,101812
BASTI,RAM PRASAD CHAUDHARY,HARISH CHANDRA ALIAS HARISH DWIVEDI, SP,I.N.D.I.A.,1077422,5448,1082870,100994
ARUNACHALWEST,KIREN RIJIJU,NABAM TUKI, BJP,NDA,379611,20193,399804,100738
KASARAGOD,RAJMOHAN UNNITHAN,M.V BALAKRISHNAN MASTER, INC,I.N.D.I.A.,1103719,8827,1112546,100649
SANGLI,VISHAL (DADA) PRAKASHBAPU PATIL,SANJAY (KAKA) PATIL, IND,OTHER,1163363,5381,1168744,100053
