Constituency Name,Winning Candidate,Runner up Candidate,Party ,Alliance, EVM Votes,Postal Votes,Total Votes,Margin
KATIHAR,TARIQ ANWAR,DULAL CHANDRA GOSWAMI, INC,I.N.D.I.A.,1168194,3352,1171546,49863
BATHINDA,HARSIMRAT KAUR BADAL,GURMEET SINGH KHUDIAN, SAD,OTHER,1145264,5906,1151170,49656
AMBALA,VARUN CHAUDHRY,BANTO KATARIA, INC,I.N.D.I.A.,1344533,2189,1346722,49036
ALWAR,BHUPENDER YADAV,LALIT YADAV, BJP,NDA,1237473,15965,1253438,48282
CHITRADURGA,GOVIND MAKTHAPPA KARJOL,B.N.CHANDRAPPA, BJP,NDA,1360301,6608,1366909,48121
RATNAGIRI-SINDHUDURG,NARAYAN TATU RANE,VINAYAK BHAURAO RAUT, BJP,NDA,906206,7832,914038,47858
KANTHI,ADHIKARI SOUMENDU,UTTAM BARIK SON OF LATE BIRENDRA BARIK, BJP,NDA,1519392,11605,1530997,47764
KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL,DR . BASAVARAJ. K. SHARANAPPA, INC,I.N.D.I.A.,1324940,3996,1328936,46357
GONDA,KIRTIVARDHAN SINGH,SHREYA VERMA, BJP,NDA,951592,1292,952884,46224
ZAHIRABAD,SURESH KUMAR SHETKAR,B. B. PATIL, INC,I.N.D.I.A.,1225027,11566,1236593,46188
RAJNANDGAON,SANTOSH PANDEY,BHUPESH BAGHEL, BJP,NDA,1444139,1626,1445765,44411
AKBARPUR,DEVENDRA SINGH ALIAS BHOLE SINGH,RAJARAM PAL, BJP,NDA,1079818,7135,1086953,44345
HOSHIARPUR,DR. RAJ KUMAR CHABBEWAL,YAMINI GOMAR, AAAP,I.N.D.I.A.,942810,5675,948485,44111
BHADOHI,DR. VINOD KUMAR BIND,LALITESHPATI TRIPATHI, BJP,NDA,1081697,3296,1084993,44072
HAVERI,BASAVARAJ BOMMAI,ANANDSWAMY GADDADEVARMATH, BJP,NDA,1390513,5299,1395812,43513
FATEHPURSIKRI,RAJKUMAR CHAHAR,RAMNATH SINGH SIKARWAR, BJP,NDA,1028909,5246,1034155,43405
BALLIA,SANATAN PANDEY,NEERAJ SHEKHAR, SP,I.N.D.I.A.,1001968,5354,1007322,43384
KORBA,JYOTSNA CHARANDAS MAHANT,SAROJ PANDEY, INC,I.N.D.I.A.,1222833,2480,1225313,43283
SULTANPUR,RAMBHUAL NISHAD,MANEKA SANJAY GANDHI, SP,I.N.D.I.A.,1030179,3208,1033387,43174
DOMARIYAGANJ,JAGDAMBIKA PAL,BHISHMA SHANKAR ALIAS KUSHAL TIWARI, BJP,NDA,1016183,2782,1018965,42728
HASSAN,SHREYAS. M. PATEL,PRAJWAL REVANNA, INC,I.N.D.I.A.,1348013,6994,1355007,42649
NAGAUR,HANUMAN BENIWAL,JYOTI MIRDHA, RLTP,I.N.D.I.A.,1227911,10562,1238473,42225
KOTA,OM BIRLA,PRAHLAD GUNJAL, BJP,NDA,1487901,12256,1500157,41974
BHIWANI-MAHENDRAGARH,DHARAMBIR SINGH,RAO DAN SINGH, BJP,NDA,1171667,11728,1183395,41510
JAGATSINGHPUR,BIBHU PRASAD TARAI,DR. RAJASHREE MALLICK, BJP,NDA,1280103,6184,1286287,40696
AKOLA,ANUP SANJAY DHOTRE,ABHAY KASHINATH PATIL, BJP,NDA,1167768,5304,1173072,40626
AMRITSAR,GURJEET SINGH AUJLA,KULDEEP SINGH DHALIWAL, INC,I.N.D.I.A.,903326,2330,905656,40301
COOCHBEHAR,JAGADISH CHANDRA BARMA BASUNIA,NISITH PRAMANIK, AITC,I.N.D.I.A.,1615848,7200,1623048,39250
MEDAK,MADHAVANENI RAGHUNANDAN RAO,NEELAM MADHU, BJP,NDA,1372896,13343,1386239,39139
MIRZAPUR,ANUPRIYA PATEL,RAMESH CHAND BIND, ADAL,NDA,1103900,1505,1105405,37810
BIJNOR,CHANDAN CHAUHAN,DEEPAK, RLD,NDA,1020877,3555,1024432,37508
BHANDARAGONDIYA,DR. PRASHANT YADAORAO PADOLE,SUNIL BABURAO MENDHE, INC,I.N.D.I.A.,1224251,10822,1235073,37380
MACHHLISHAHR,PRIYA SAROJ,BHOLANATH (B.P. SAROJ), SP,I.N.D.I.A.,1056972,3091,1060063,35850
UNNAO,SWAMI SACHCHIDANAND HARI SAKSHI,ANNU TANDON, BJP,NDA,1298002,4269,1302271,35818
MAHARAJGANJ,PANKAJ CHAUDHARY,VIRENDRA CHAUDHARY, BJP,NDA,1208722,1729,1210451,35451
BHUBANESWAR,APARAJITA SARANGI,MANMATH KUMAR ROUTRAY, BJP,NDA,1077476,4739,1082215,35152
BADAUN,ADITYA YADAV,DURVIJAY SINGH SHAKYA, SP,I.N.D.I.A.,1090662,1102,1091764,34991
DEORIA,SHASHANK MANI,AKHILESH PRATAP SINGH, BJP,NDA,1040381,2927,1043308,34842
BAREILLY,CHHATRA PAL SINGH GANGWAR,PRAVEEN SINGH ARON, BJP,NDA,1116465,3093,1119558,34804
KHERI,UTKARSH VERMA 'MADHUR',AJAY KUMAR, SP,I.N.D.I.A.,1209810,3549,1213359,34329
FATEHGARHSAHIB,AMAR SINGH,GURPREET SINGH GP, INC,I.N.D.I.A.,971031,3225,974256,34202
MISRIKH,ASHOK KUMAR RAWAT,SANGITA RAJVANSHI, BJP,NDA,1049151,2832,1051983,33406
FATEHPUR,NARESH CHANDRA UTTAM PATEL,NIRANJAN JYOTI, SP,I.N.D.I.A.,1105472,1472,1106944,33199
BANKURA,ARUP CHAKRABORTY,DR. SUBHAS SARKAR, AITC,I.N.D.I.A.,1437806,9868,1447674,32778
SATARA,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SHASHIKANT JAYVANTRAO SHINDE, BJP,NDA,1193487,4517,1198004,32771
BANGALORECENTRAL,P C MOHAN,MANSOOR ALI KHAN, BJP,NDA,1313862,2648,1316510,32707
PATAN,DABHI  BHARATSINHJI  SHANKARJI,CHANDANJI TALAJI THAKOR, BJP,NDA,1181373,11752,1193125,31876
ARUNACHALEAST,TAPIR GAO,BOSIRAM SIRAM, BJP,NDA,310213,13230,323443,30421
BANASKANTHA,GENIBEN NAGAJI THAKOR,DR. REKHABEN HITESHBHAI CHAUDHARI, INC,I.N.D.I.A.,1365141,10762,1375903,30406
BUXAR,SUDHAKAR SINGH,MITHILESH TIWARI, RJD,I.N.D.I.A.,1066300,7459,1073759,30091
MUMBAINORTHEAST,SANJAY DINA PATIL,MIHIR CHANDRAKANT KOTECHA, SHSUBT,I.N.D.I.A.,922256,4213,926469,29861
BULDHANA,JADHAV PRATAPRAO GANPATRAO,NARENDRA DAGDU KHEDEKAR, SHS,NDA,1105267,4229,1109496,29479
SHEOHAR,LOVELY ANAND,RITU JAISWAL, JD(U),NDA,1052505,3097,1055602,29143
NAMAKKAL,MATHESWARAN V S,TAMILMANI S, DMK,I.N.D.I.A.,1136116,10187,1146303,29112
KURUKSHETRA,NAVEEN JINDAL,DR SUSHIL GUPTA, BJP,NDA,1202413,3459,1205872,29021
AHMEDNAGAR,NILESH DNYANDEV LANKE,DR. SUJAY RADHAKRISHNA VIKHEPATIL, NCPSP,I.N.D.I.A.,1320318,5159,1325477,28929
AMROHA,KANWAR SINGH TANWAR,KUNWAR DANISH ALI, BJP,NDA,1108635,2055,1110690,28670
ETAH,DEVESH SHAKYA,RAJVEER SINGH (RAJU BHAIYA), SP,I.N.D.I.A.,1007609,2772,1010381,28052
LADAKH,MOHMAD HANEEFA,TSERING NAMGYAL, IND,OTHER,132614,2910,135524,27862
HARDOI,JAI PRAKASH,USHA VERMA, BJP,NDA,1097322,2794,1100116,27856
GULBARGA,RADHAKRISHNA,DR. UMESH G JADHAV, INC,I.N.D.I.A.,1306167,4310,1310477,27205
MEDINIPUR,JUNE MALIAH,AGNIMITRA PAUL, AITC,I.N.D.I.A.,1474654,6909,1481563,27191
DAVANAGERE,DR. PRABHA MALLIKARJUN,GAYITHRI SIDDESHWARA, INC,I.N.D.I.A.,1315951,4417,1320368,26094
MUZAFFARNAGAR,HARENDRA SINGH MALIK,SANJEEV KUMAR BALYAN, SP,I.N.D.I.A.,1075007,3662,1078669,24672
ANDAMAN&NICOBARISLANDS,BISHNU PADA RAY,KULDEEP RAI SHARMA, BJP,NDA,201992,522,202514,24396
PURNIA,RAJESH RANJAN ALIAS PAPPU YADAV,SANTOSH KUMAR, IND,OTHER,1194607,1237,1195844,23847
DUMKA,NALIN SOREN,SITA MURMU, JMM,I.N.D.I.A.,1174681,9451,1184132,22527
SONIPAT,SATPAL BRAHAMCHARI,MOHAN LAL BADOLI, INC,I.N.D.I.A.,1119190,4754,1123944,21816
CHANDAULI,BIRENDRA SINGH,DR. MAHENDRA NATH  PANDEY, SP,I.N.D.I.A.,1113469,3030,1116499,21565
KANDHAMAL,SUKANTA KUMAR PANIGRAHI,ACHYUTANANDA SAMANTA, BJP,NDA,990520,5571,996091,21371
DHARMAPURI,MANI. A.,SOWMIYA ANBUMANI, DMK,I.N.D.I.A.,1238428,9404,1247832,21300
KANPUR,RAMESH AWASTHI,ALOK MISRA, BJP,NDA,882042,5354,887396,20968
LUDHIANA,AMRINDER SINGH RAJA WARRING,RAVNEET SINGH BITTU, INC,I.N.D.I.A.,1057219,1938,1059157,20942
ALATHUR,K.RADHAKRISHNAN,RAMYA HARIDAS, CPI(M),I.N.D.I.A.,981566,10702,992268,20111
ARARIA,PRADEEP KUMAR SINGH,SHAHNAWAZ, BJP,NDA,1250207,2353,1252560,20094
AMRAVATI,BALWANT BASWANT WANKHADE,NAVNEET RAVI RANA, INC,I.N.D.I.A.,1169205,4374,1173579,19731
SASARAM,MANOJ KUMAR,SHIVESH KUMAR, INC,I.N.D.I.A.,1092158,4917,1097075,19157
KARIMGANJ,KRIPANATH MALLAH,HAFIZ RASHID AHMED CHOUDHURY, BJP,NDA,1140349,6533,1146882,18360
JHUNJHUNU,BRIJENDRA SINGH OLA,SHUBHKARAN CHOUDHARY, INC,I.N.D.I.A.,1094908,24019,1118927,18235
PURULIA,JYOTIRMAY SINGH MAHATO,SHANTIRAM MAHATO, BJP,NDA,1428596,5422,1434018,17079
MUMBAINORTHCENTRAL,GAIKWAD VARSHA EKNATH,ADV UJWAL NIKAM, INC,I.N.D.I.A.,907229,3333,910562,16514
THIRUVANANTHAPURAM,SHASHI THAROOR,RAJEEV CHANDRASEKHAR, INC,I.N.D.I.A.,950874,12109,962983,16077
AONLA,NEERAJ MAURYA,DHARMENDRA KASHYAP, SP,I.N.D.I.A.,1086120,2776,1088896,15969
ALIGARH,SATISH KUMAR GAUTAM,BIJENDRA SINGH, BJP,NDA,1131155,2211,1133366,15647
PATIALA,DR DHARAMVIRA GANDHI,DR BALBIR SINGH, INC,I.N.D.I.A.,1149065,2678,1151743,14831
THIRUPATHI(SC),GURUMOORTHY MADDILA,VARA PRASAD RAO VELAGAPALLI, YSRCP,OTHER,1365358,17212,1382570,14569
SARAN,RAJIV PRATAP RUDY,ROHINI ACHARYA, BJP,NDA,1018494,3014,1021508,13661
SOUTHGOA,CAPTAIN  VIRIATO FERNANDES,PALLAVI SHRINIVAS DEMPO, INC,I.N.D.I.A.,445924,4596,450520,13535
HATKANANGALE,DHAIRYASHEEL SAMBHAJIRAO MANE,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR, SHS,NDA,1290191,5833,1296024,13426
MAVELIKKARA,KODIKUNNIL SURESH,ADV ARUN KUMAR C A, INC,I.N.D.I.A.,878986,15985,894971,10868
ANANDPURSAHIB,MALVINDER SINGH KANG,VIJAY INDER SINGLA, AAAP,I.N.D.I.A.,1073709,3414,1077123,10846
MEERUT,ARUN GOVIL,SUNITA VERMA, BJP,NDA,1179112,3367,1182479,10585
BALURGHAT,SUKANTA MAJUMDAR,BIPLAB MITRA, BJP,NDA,1233664,3644,1237308,10386
BEED,BAJRANG MANOHAR SONWANE,PANKAJA GOPINATHRAO MUNDE, NCPSP,I.N.D.I.A.,1518614,3681,1522295,6553
ARAMBAGH,BAG MITALI,ARUP KANTI DIGAR, AITC,I.N.D.I.A.,1554300,4779,1559079,6399
DAMAN&DIU,PATEL UMESHBHAI BABUBHAI,LALUBHAI BABUBHAI PATEL, IND,OTHER,92279,131,92410,6225
BISHNUPUR,KHAN SAUMITRA,SUJATA MONDAL, BJP,NDA,1506951,6921,1513872,5567
MAHBUBNAGAR,ARUNA. D. K,CHALLA VAMSHI CHAND REDDY, BJP,NDA,1218323,7755,1226078,4500
DHAURAHRA,ANAND BHADAURIYA,REKHA VERMA, SP,I.N.D.I.A.,1109492,2355,1111847,4449
VIRUDHUNAGAR,MANICKAM TAGORE B,VIJAYAPRABHAKARAN V, INC,I.N.D.I.A.,1053507,8394,1061901,4379
PHULPUR,PRAVEEN PATEL,AMAR NATH SINGH MAURYA, BJP,NDA,1011627,3197,1014824,4332
DHULE,BACHHAV SHOBHA DINESH,BHAMRE SUBHASH RAMRAO, INC,I.N.D.I.A.,1215525,3770,1219295,3831
SALEMPUR,RAMASHANKAR RAJBHAR,RAVINDAR KUSHAWAHA, SP,I.N.D.I.A.,913701,3661,917362,3573
FIROZPUR,SHER SINGH GHUBAYA,JAGDEEP SINGH KAKA BRAR, INC,I.N.D.I.A.,1117934,7181,1125115,3242
BANSGAON,KAMLESH PASWAN,SADAL PRASAD, BJP,NDA,941708,3055,944763,3150
FARRUKHABAD,MUKESH RAJPUT,DR. NAVAL KISHOR SHAKYA, BJP,NDA,1031784,2010,1033794,2678
LAKSHADWEEP,MUHAMMED HAMDULLAH SAYEED,MOHAMMED FAIZAL PP, INC,I.N.D.I.A.,48630,570,49200,2647
HAMIRPUR,AJENDRA SINGH LODHI,KUNWAR PUSHPENDRA SINGH CHANDEL, SP,I.N.D.I.A.,1113768,1531,1115299,2629
CHANDIGARH,MANISH TEWARI,SANJAY TANDON, INC,I.N.D.I.A.,448548,727,449275,2504
KANKER,BHOJRAJ NAG,BIRESH THAKUR, BJP,NDA,1260153,5276,1265429,1884
JAIPURRURAL,RAO RAJENDRA SINGH,ANIL CHOPRA, BJP,NDA,1237966,24088,1262054,1615
JAJPUR,RABINDRA NARAYAN BEHERA,SARMISTHA SETHI, BJP,NDA,1151847,9361,1161208,1587
ATTINGAL,ADV ADOOR PRAKASH,V JOY, INC,I.N.D.I.A.,970517,14824,985341,684
MUMBAINORTHWEST,RAVINDRA DATTARAM WAIKAR,AMOL GAJANAN KIRTIKAR, SHS,NDA,951582,3357,954939,48
SURAT,MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),MUKESHKUMAR CHANDRAKAANT DALAL ( Uncontested ), BJP,NDA,0,0,0,0
